"M0a","M0b","N0","N1","N2","N3","N4","N5","N6","N7","Class"
0,0,0,0,1,1,1,0,1,0,0
0,0,0,0,1,1,0,0,1,0,0
0,0,1,1,1,1,1,1,0,0,0
0,1,1,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0
0,1,0,1,1,0,1,0,0,0,0
1,0,0,0,1,1,1,0,1,0,0
0,0,0,0,0,1,0,1,1,0,0
0,1,0,1,1,1,1,0,1,0,0
1,0,0,0,0,0,1,0,1,0,0
0,0,1,0,0,0,1,0,1,0,0
0,1,0,0,1,0,1,1,1,1,0
0,0,0,1,0,1,1,1,1,0,0
0,0,0,1,0,0,1,1,0,0,0
1,0,0,1,1,0,1,0,0,0,0
0,0,1,0,1,0,1,0,1,0,0
0,0,1,0,1,1,1,0,1,0,0
0,0,0,0,1,1,1,1,1,0,0
1,0,0,0,1,1,1,0,0,0,0
1,1,1,0,0,1,1,1,0,0,0
0,1,1,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,1,1,0,0
0,1,0,0,1,0,0,0,0,1,0
1,1,0,1,0,0,1,0,0,0,0
0,1,0,1,0,1,1,0,0,0,0
1,1,0,1,1,0,0,1,1,1,0
0,0,0,0,1,1,0,0,1,0,0
0,1,1,0,1,0,0,0,1,0,0
1,0,1,1,0,1,1,1,0,0,0
1,0,0,0,0,0,0,1,0,0,0
0,1,0,1,0,1,1,1,1,0,0
1,0,1,1,0,0,1,1,1,0,0
0,0,1,1,1,0,1,0,1,1,0
1,0,1,0,1,0,0,1,0,0,0
0,0,1,1,1,0,1,0,1,0,0
